"number";"r PL*1000";"i PL*1000"
1;52;0
2;55.7436;0
3;52.8363;0
4;50.7718;0
5;53.4444;0
6;47.1856;0
7;53.7687;0
8;50.1008;0
9;53.3958;0
10;51.7038;0
11;51.057;0
12;52.889;0
13;49.2737;0
14;54.5734;0
15;50.6923;0
16;50.0206;0
17;53.9877;0
18;51.3268;0
19;55.0405;0
20;52.7382;0
21;49.6736;0
22;50.912;0
23;51.9927;0
24;47.2635;0
25;52.0238;0
26;51.1684;0
27;49.2059;0
28;51.237;0
29;50.5731;0
30;51.1;0
31;54.1025;0
32;52.3723;0
33;50.5578;0
34;52.6983;0
35;55.7011;0
36;50.3419;0
37;52.7864;0
38;54.802;0
39;52.9989;0
40;53.3495;0
41;50.9247;0
42;48.2427;0
43;52.1891;0
44;49.8041;0
45;52.5381;0
46;53.2396;0
47;51.257;0
48;50.1197;0
49;49.3229;0
50;51.7198;0
51;52.5939;0
52;52.2259;0
53;55.6277;0
54;53.6741;0
55;51.2458;0
56;49.9292;0
57;52.4738;0
58;52.075;0
59;46.563;0
60;52.8219;0
61;53.4941;0
62;53.1493;0
63;52.6426;0
64;53.2783;0
65;55.489;0
66;52.6024;0
67;50.6583;0
68;50.1093;0
69;51.8624;0
70;50.697;0
71;51.6426;0
72;51.8497;0
73;49.6065;0
74;52.2912;0
75;51.6956;0
76;53.758;0
77;51.0053;0
78;52.0062;0
79;53.1463;0
80;53.0909;0
81;51.565;0
82;51.3964;0
83;50.4994;0
84;52.7982;0
85;51.4299;0
86;55.1949;0
87;53.9292;0
88;50.0029;0
89;54.7002;0
90;53.9709;0
91;50.1951;0
92;52.9358;0
93;50.546;0
94;51.0781;0
95;52.4448;0
96;52.5811;0
97;53.855;0
98;53.2704;0
99;52.1301;0
100;48.7037;0
